epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3680.28,0.66993,0.88497,1.2045,0.85046,0.76737,0.84987,0.68882,0.71095,0.77329,1.20117,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3791.91,0.66897,0.86662,1.20504,0.84649,0.78096,0.85627,0.69709,0.70677,0.75603,1.19341,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3903.9,0.66509,0.8612,1.20206,0.84367,0.79395,0.86151,0.70234,0.70005,0.74634,1.19024,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4015.78,0.65872,0.84614,1.19658,0.83788,0.79339,0.85703,0.69633,0.70606,0.7465,1.19673,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4127.15,0.66106,0.83986,1.19614,0.85566,0.78247,0.85948,0.70059,0.70028,0.73402,1.19347,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4239.08,0.65236,0.82414,1.19053,0.85694,0.7916,0.86299,0.70444,0.69473,0.72569,1.18554,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4351.3,0.64967,0.81124,1.18704,0.86332,0.78925,0.86435,0.70629,0.69146,0.72465,1.18095,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4463.12,0.64833,0.80392,1.19087,0.85901,0.78949,0.86252,0.70756,0.68862,0.72393,1.1799,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4925.16,0.64489,0.80475,1.18712,0.84052,0.80577,0.86219,0.7091,0.688,0.72135,1.18003,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5037.5,0.64049,0.79395,1.18266,0.85207,0.8034,0.8637,0.70866,0.69157,0.71583,1.18419,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5149.28,0.63562,0.78653,1.1813,0.85588,0.79648,0.8635,0.71026,0.69024,0.71354,1.1806,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5261.08,0.63295,0.77055,1.17538,0.85272,0.80106,0.86496,0.71095,0.68422,0.70593,1.17469,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5372.81,0.63049,0.75761,1.17474,0.85268,0.8058,0.86616,0.71236,0.68408,0.70436,1.17765,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5483.95,0.6291,0.75128,1.17187,0.85905,0.80453,0.8673,0.71421,0.6842,0.69901,1.1789,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5595.91,0.62068,0.74323,1.1679,0.84946,0.8147,0.87067,0.71677,0.68197,0.6937,1.17637,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5707.54,0.62355,0.74132,1.1696,0.85815,0.80733,0.87223,0.7182,0.67992,0.68903,1.1738,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5819.44,0.61371,0.72488,1.16145,0.85404,0.8131,0.87268,0.71855,0.67496,0.68765,1.16962,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5931.23,0.61678,0.71926,1.16319,0.86108,0.80747,0.8733,0.71807,0.67639,0.68918,1.17103,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6043.43,0.61496,0.71266,1.16285,0.85911,0.80922,0.87287,0.71943,0.67784,0.68509,1.17377,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6155.69,0.60991,0.70448,1.15806,0.86573,0.80816,0.87398,0.72066,0.67964,0.68284,1.17471,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6267.59,0.60608,0.69849,1.1551,0.8674,0.80865,0.87375,0.72165,0.67933,0.68051,1.17455,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6379.59,0.60888,0.69329,1.1544,0.86794,0.81126,0.87348,0.72161,0.67997,0.67916,1.17606,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6492.98,0.60116,0.68587,1.15217,0.8625,0.81493,0.87369,0.72171,0.67954,0.67656,1.17705,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6605.39,0.59681,0.67343,1.14795,0.85898,0.81578,0.87275,0.72208,0.6795,0.67452,1.17822,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6717.66,0.59758,0.67713,1.14798,0.863,0.81296,0.8734,0.72255,0.67859,0.67366,1.17722,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
